X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.20709845,3.5182793,9.127894,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.36152446,3.5110967,9.174581,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2705448,3.4500446,9.181764,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10414778,3.3686419,9.2787285,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.038307227,3.3530796,9.356541,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.022744916,3.3985693,9.417592,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24779987,3.4680011,9.317036,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.427365,3.5075054,9.205706,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.34596214,3.5122938,9.097966,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19991584,3.4452562,9.101558,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.010773907,3.3985693,9.143456,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.039504327,3.3973722,9.507375,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23582886,3.3985693,9.556456,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2753332,3.4249055,9.330204,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24061728,3.4608185,9.088389,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1328782,3.4715924,9.006987,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.130484,3.4380736,9.23683,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21547815,3.417723,9.416395,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.22505496,3.4344823,9.522937,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.18435353,3.4093432,9.308656,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1388637,3.4105403,9.075222,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1412579,3.4572272,9.141062,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23702596,3.4632127,9.324219,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2717419,3.4356794,9.38168,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23942018,3.4332852,9.323022,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1400608,3.429694,9.25359,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.008379706,3.4141316,9.305065,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.06943185,3.3925838,9.285912,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21068975,3.4691982,9.296685,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.3890578,3.5218706,9.205706,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.48722005,3.5529952,9.065644,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.36990416,3.572149,9.062054,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.18914193,3.5087025,9.114726,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.02633622,3.4045548,9.19134,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.04070143,3.3913867,9.399636,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16400282,3.4572272,9.5385,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.29807812,3.4272997,9.2787285,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.29568392,3.5087025,9.081207,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.39743748,3.489549,9.089587,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23343466,3.4596214,9.129091,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.08619126,3.4284968,9.168595,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.25737667,3.594894,9.321824,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30885202,3.4608185,9.283517,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.31603462,3.4117374,9.39365,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19752164,3.4129345,9.239224,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.009576807,3.3782187,9.181764,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.02873042,3.393781,9.267955,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.074220255,3.4009635,9.470264,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
